zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,,,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation
10469,44,401,9.1,3.4,3.5,Caribbean,9,Chinese,7,Pizza,7,350724,237915,73377,52.3,56620,4504,5357,18016,10754,7709,5099,5181,18684,23152,9050,5401,11734,10294,11.5,,,"1,287",0.01,6222,6359
10470,18,207,11.5,3.8,3.6,Pizza,6,Sandwiches,3,Pubs,2,375149,247926,72272,57.2,12604,667,1071,4824,1855,2063,967,1157,4779,5034,2651,1025,2405,2661,11.4,,,700,0.02,1096,6346
10471,32,580,18.1,3.6,3.5,Pizza,7,Delis,5,Mexican,3,466129,820887,119726,54.2,18441,1715,1728,4933,3018,2677,1764,2606,6226,6130,1543,549,1960,6576,10.2,,,576,0.03,1019,11704
10472,44,283,6.4,3.5,3.4,Chinese,9,Mexican,7,Pizza,7,696825,147409,50337,52,51216,4283,5845,19701,8738,6421,3739,2489,20120,20585,9617,12522,8257,4464,11.1,,,"1,164",0.01,8003,4535
10473,13,88,6.8,3.6,3.9,Spanish,2,American (New),2,Chinese,2,437338,229259,60116,50.3,45966,4276,4734,14968,7965,6661,4530,2832,14526,19802,8834,6585,8637,5538,11.8,,,"3,536",0.00,6760,5106
10474,13,65,5,3.2,3.2,Barbeque,2,Delis,2,Pizza,2,737192,109443,37063,43.8,9137,674,1182,3984,1671,791,615,220,3960,3668,1690,2554,1642,560,10.6,,,703,0.01,1827,3508
10475,37,426,11.5,2.6,2.6,Burgers,6,Chinese,6,American (Traditional),5,341492,232611,66637,50.5,35411,2171,2580,9253,6879,5858,4499,4171,10949,13621,5481,2912,7872,5725,10.5,,,957,0.01,3079,6364
11001,44,812,18.5,3.9,3.9,American (New),7,Pizza,7,Italian,6,458833,408979,115923,64,21954,1472,1561,6715,4412,3947,1946,1901,7791,8844,3516,945,3935,6678,13.3,,,499,0.04,1187,8694
11004,27,575,21.3,3.5,3.1,Indian,11,Chinese,5,Pakistani,3,321223,461886,95480,58,11734,553,707,4010,2032,2031,1050,1351,4087,4693,1684,488,1677,4224,11.9,,,435,0.05,551,8033
11005,1,5,5,2.4,2.5,Diners,1,n/a,n/a,n/a,n/a,412639,?,76045,23.3,1963,0,0,8,83,153,351,1368,128,116,20,0,27,197,13.8,,,"1,963",0.00,393,5511
11040,68,2671,39.3,3.7,3.7,Italian,15,Pizza,11,Indian,6,366729,462558,119396,58.9,32366,2013,2240,8205,6836,5682,3726,3664,11452,11511,3980,894,5562,10287,6.0,,,476,0.08,824,19899
11096,11,48,4.4,3.1,3.6,Pizza,5,Sandwiches,2,Italian,2,?,?,71863,57.8,6406,756,583,2128,1159,875,530,375,2149,2596,1498,861,1239,564,12.4,,,582,0.01,1456,5797
11101,46,5482,119.2,3.8,4,American (New),9,Breakfast & Brunch,7,Bars,5,1223542,1099688,71270,58.1,19995,1090,2247,9033,3229,2251,1207,938,8351,8409,3281,2526,3155,5551,12.3,,,435,0.27,168,5808
11102,44,6537,148.6,3.7,3.8,Pizza,6,Italian,5,Breakfast & Brunch,4,848424,327641,69286,63.5,29102,1492,3347,14215,4125,2563,1906,1454,12608,11642,3941,3397,4139,9426,11.4,,,661,0.22,196,6102
11103,106,14179,133.8,3.8,3.8,American (New),13,Mexican,13,Pizza,11,782266,321678,73601,66.9,32387,931,2877,16023,4627,3260,2626,2043,13892,12895,4735,2964,4971,11240,11.5,,,306,0.44,242,6421
11104,99,6007,60.7,3.7,3.5,Pizza,12,Mexican,10,Chinese,8,662818,314082,69145,65.5,22952,683,1643,10890,3611,2936,2082,1107,9524,9556,4279,2408,3867,6883,12.4,,,232,0.26,378,5575
